Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb
304.3625,0.5536147,1.338498,0.5348277,-0.9210992,0.05612116,-0.3509867,0.1588552,5.960464E-08,0,0.2657597,0,0.7688763,0,0,0,0,0,0,0,0,0,0,0,0
304.3979,0.556022,1.340237,0.531406,-0.9212434,0.05575474,-0.3528174,0.1540194,5.960464E-08,0,0.2657597,0,0.7643964,0,0,0,0,0,0,0,0,0,0,0,0
304.4396,0.5590746,1.343298,0.5279821,-0.9213469,0.0562617,-0.3540274,0.1503965,5.960464E-08,0,0.2578149,0,0.7516451,0,0,0,0,0,0,0,0,0,0,0,0
304.4837,0.5619289,1.347129,0.5243492,-0.921514,0.05864764,-0.3552249,0.1455597,5.960464E-08,0,0.2482921,0,0.7379898,0,0,0,0,0,0,0,0,0,0,0,0
304.5383,0.5655611,1.351911,0.5200923,-0.9218521,0.06027629,-0.3558914,0.1410559,5.960464E-08,0,0.2451641,0,0.7273967,0,0,0,0,0,0,0,0,0,0,0,0
304.585,0.5694104,1.355965,0.5167831,-0.9222416,0.06154148,-0.3568377,0.1354616,5.960464E-08,0,0.2442632,0,0.722335,0,0,0,0,0,0,0,0,0,0,0,0
304.6214,0.5739918,1.361035,0.5119072,-0.922475,0.06255803,-0.3570525,0.1328148,5.960464E-08,0,0.2438941,0,0.7036111,0,0,0,0,0,0,0,0,0,0,0,0
304.6776,0.5774932,1.364784,0.5077327,-0.9227729,0.06447358,-0.3573012,0.1291088,5.960464E-08,0,0.2437219,0,0.6884158,0,0,0,0,0,0,0,0,0,0,0,0
304.7159,0.5800143,1.366511,0.5054306,-0.923178,0.06620016,-0.3572112,0.1255393,5.960464E-08,0,0.2436723,0,0.6693076,0,0,0,0,0,0,0,0,0,0,0,0
304.7506,0.5834932,1.369449,0.5015604,-0.9234909,0.06672792,-0.3571298,0.1231678,5.960464E-08,0,0.2436555,0,0.6566968,0,0,0,0,0,0,0,0,0,0,0,0
304.7956,0.5852798,1.370477,0.4996985,-0.9239812,0.06754913,-0.356976,0.1194318,5.960464E-08,0,0.2436452,0,0.6436788,0,0,0,0,0,0,0,0,0,0,0,0
304.8431,0.5866261,1.371154,0.4976985,-0.9243965,0.06856832,-0.3571131,0.1151511,5.960464E-08,0,0.2436403,0,0.626479,0,0,0,0,0,0,0,0,0,0,0,0
304.8974,0.5878236,1.371602,0.4959967,-0.9250438,0.06953552,-0.3562983,0.11185,5.960464E-08,0,0.2436387,0,0.620888,0,0,0,0,0,0,0,0,0,0,0,0
304.9379,0.5886315,1.37201,0.4947675,-0.9252825,0.07018863,-0.3558322,0.1109471,5.960464E-08,0,0.2436384,0,0.6134858,0,0,0,0,0,0,0,0,0,0,0,0
304.9814,0.5889021,1.372006,0.4945475,-0.9253809,0.07077805,-0.3555527,0.1106474,5.960464E-08,0,0.2436381,0,0.6081453,0,0,0,0,0,0,0,0,0,0,0,0
305.026,0.5886912,1.371743,0.495069,-0.9253057,0.07111589,-0.3556008,0.1109054,5.960464E-08,0,0.243638,0,0.6066124,0,0,0,0,0,0,0,0,0,0,0,0
305.0563,0.588239,1.371775,0.4953734,-0.9252201,0.07128237,-0.3555087,0.1118045,5.960464E-08,0,0.243638,0,0.6060939,0,0,0,0,0,0,0,0,0,0,0,0
305.1087,0.5875852,1.371805,0.495988,-0.9253102,0.07117725,-0.3551812,0.112166,5.960464E-08,0,0.243638,0,0.6057283,0,0,0,0,0,0,0,0,0,0,0,0
305.154,0.5872893,1.372124,0.4961231,-0.9252856,0.07096791,-0.3551365,0.1126423,5.960464E-08,0,0.243638,0,0.6056231,0,0,0,0,0,0,0,0,0,0,0,0
305.2044,0.5865932,1.372559,0.4954725,-0.9254688,0.07038155,-0.3547586,0.1126957,5.960464E-08,0,0.243638,0,0.605574,0,0,0,0,0,0,0,0,0,0,0,0
305.2442,0.5859565,1.372571,0.495274,-0.9256957,0.06972384,-0.3543566,0.1125053,5.960464E-08,0,0.243638,0,0.6055599,0,0,0,0,0,0,0,0,0,0,0,0
305.3029,0.585259,1.372384,0.4951668,-0.925666,0.06951344,-0.3543679,0.1128434,5.960464E-08,0,0.243638,0,0.6055533,0,0,0,0,0,0,0,0,0,0,0,0
