Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
20.95929,0.1180675,0.8489069,0.3050806,-0.6037356,-0.321128,0.6700394,0.2888381,5.960464e-08,0.0,0.0,0.0,0.0,-0.04489567,0.8290286,0.325522,-0.753511,0.3427405,-0.5329804,0.1751629,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.00187,0.1180522,0.8485779,0.3047258,-0.6038048,-0.3210872,0.6695186,0.2899442,5.960464e-08,0.0,0.0,0.0,0.0,-0.04491919,0.8291798,0.3254083,-0.7534992,0.3430594,-0.5326906,0.175471,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.04385,0.1180337,0.8485575,0.3049136,-0.6039085,-0.3206824,0.669163,0.2909951,5.960464e-08,0.0,0.0,0.0,0.0,-0.04467825,0.8295131,0.3254019,-0.7540671,0.3422447,-0.5316197,0.1778534,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.07094,0.1179012,0.8489641,0.3048126,-0.6045579,-0.3195561,0.668433,0.2925594,5.960464e-08,0.0,0.0,0.0,0.0,-0.04496262,0.8293619,0.325261,-0.7543994,0.3421867,-0.5307273,0.1792158,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.11315,0.1179245,0.8495181,0.3046498,-0.6051012,-0.3187265,0.668047,0.2932222,5.960464e-08,0.0,0.0,0.0,0.0,-0.04487571,0.8300381,0.3257015,-0.7549713,0.3411233,-0.5296683,0.181947,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.15208,0.1175723,0.8506477,0.3044537,-0.6066623,-0.316119,0.6667398,0.2957832,5.960464e-08,0.0,0.0,0.0,0.0,-0.04522398,0.8309864,0.3256539,-0.7561681,0.3394094,-0.5271676,0.1873649,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.18814,0.1172886,0.8538906,0.3040699,-0.6125937,-0.3070418,0.6598823,0.3082365,5.960464e-08,0.0,0.0,0.0,0.0,-0.04536707,0.8352151,0.3243529,-0.7605774,0.3353649,-0.5146376,0.2102394,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.21297,0.1168078,0.858548,0.3035606,-0.6213689,-0.2936411,0.6483985,0.3274982,5.960464e-08,0.0,0.0,0.0,0.0,-0.04606656,0.8420321,0.3246408,-0.7665344,0.326222,-0.4948696,0.2472009,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.26353,0.1173087,0.8625516,0.3044859,-0.6311902,-0.276976,0.6339273,0.350741,5.960464e-08,0.0,0.0,0.0,0.0,-0.04723553,0.8470008,0.328599,-0.770044,0.3143991,-0.4725197,0.2913943,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.30582,0.1183055,0.8655538,0.3071223,-0.6470952,-0.2418149,0.6042672,0.3970574,5.960464e-08,0.0,0.0,0.0,0.0,-0.04871409,0.8524816,0.3342207,-0.7716929,0.2881659,-0.4309958,0.3683658,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.33598,0.119049,0.8707142,0.3085684,-0.6626855,-0.2024522,0.5641586,0.4489834,5.960464e-08,0.0,0.0,0.0,0.0,-0.0503494,0.8593022,0.3395647,-0.7706866,0.2543458,-0.3764687,0.4467903,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.37285,0.1195708,0.8759299,0.3083826,-0.6716732,-0.1783189,0.536123,0.4791968,5.960464e-08,0.0,0.0,0.0,0.0,-0.05196559,0.863977,0.3429213,-0.7688155,0.2325906,-0.3429213,0.4870621,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.41618,0.1197383,0.8763515,0.3087879,-0.6798503,-0.151083,0.5098125,0.5050434,5.960464e-08,0.0,0.0,0.0,0.0,-0.05343658,0.865983,0.3432541,-0.7628788,0.2073443,-0.302694,0.5323538,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.44114,0.1195953,0.8803495,0.3076162,-0.6864035,-0.1266128,0.4785476,0.5327399,5.960464e-08,0.0,0.0,0.0,0.0,-0.0561998,0.8700135,0.3464181,-0.7533947,0.1804994,-0.2533494,0.5793364,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.46609,0.1188306,0.8838107,0.3066378,-0.6918665,-0.1085719,0.4547617,0.5502042,5.960464e-08,0.0,0.0,0.0,0.0,-0.058511,0.8731902,0.3493195,-0.7444372,0.1560556,-0.2152363,0.6124812,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.54209,0.1181875,0.8862599,0.3070477,-0.7031485,-0.0623252,0.3881058,0.592513,5.960464e-08,0.0,0.0,0.0,0.0,-0.06369399,0.8743519,0.3521104,-0.712431,0.0951677,-0.1169334,0.6853552,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.57535,0.1175653,0.8877125,0.306678,-0.706215,-0.04729439,0.3678508,0.6030833,5.960464e-08,0.0,0.0,0.0,0.0,-0.06562233,0.874734,0.3533026,-0.7022863,0.0740746,-0.09427927,0.7017252,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.60696,0.1180396,0.8944567,0.3054024,-0.7093566,-0.02633978,0.331416,0.6215166,5.960464e-08,0.0,0.0,0.0,0.0,-0.07112366,0.8764715,0.3561927,-0.6884264,0.05069396,-0.0633342,0.7207551,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.66517,0.1211336,0.8966877,0.3080828,-0.7090001,0.03161797,0.2502718,0.6585463,5.960464e-08,0.0,0.0,0.0,0.0,-0.07607932,0.8766757,0.3580903,-0.6481766,0.01059079,0.01961908,0.7611636,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
