Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
12.89279,-0.1105506,1.221565,0.6667805,-0.5101855,-0.08768325,-0.114146,0.8479347,5.960464e-08,0.0,0.02664274,0.0,0.01492154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
12.93961,-0.1068589,1.226099,0.6669978,-0.4786555,-0.0922332,-0.1677427,0.8568807,5.960464e-08,0.0,0.0374008,0.0,0.02098952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
12.98179,-0.09767844,1.228838,0.6703075,-0.4176362,-0.09285235,-0.2578792,0.8662891,5.960464e-08,0.0,0.0580689,0.0,0.05251783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.0614,-0.08554685,1.233575,0.6730478,-0.3624975,-0.0778153,-0.3443183,0.8625458,5.960464e-08,0.0,0.0803282,0.01170665,0.09477437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.08186,-0.0714247,1.237548,0.6781185,-0.3508452,-0.06015373,-0.3703408,0.8579842,5.960464e-08,0.0,0.08346988,0.04509288,0.1887344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.12506,-0.03904853,1.23895,0.6897862,-0.3328036,-0.009621124,-0.425619,0.841426,5.960464e-08,0.0,0.08675948,0.08618555,0.3177017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.15567,-0.0279075,1.2354,0.6934035,-0.3209749,0.03231971,-0.4647731,0.8245705,5.960464e-08,0.0,0.09254544,0.1053792,0.3780096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.21632,-0.0140823,1.227024,0.6977025,-0.3046451,0.1097037,-0.5020426,0.8019412,5.960464e-08,0.0,0.1115087,0.1326967,0.4224875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.25577,-0.006625919,1.220559,0.701134,-0.2833085,0.1506426,-0.5078141,0.7994798,5.960464e-08,0.0,0.1177034,0.1422378,0.4353988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.30485,0.004784745,1.209973,0.7019088,-0.2638401,0.186932,-0.5204088,0.7903287,5.960464e-08,0.0,0.1355837,0.1542748,0.4577702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
